month,graph,sequential,causal_debiasing,fairness_explainability,multimodal,reinforcement_learning,coldstart_federated,llm,n_papers
2019-01,10.0,0.0,10.0,0.0,15.0,5.0,25.0,0.0,20
2019-02,23.33,20.0,6.67,13.33,10.0,16.67,3.33,0.0,30
2019-03,26.32,5.26,0.0,15.79,10.53,15.79,26.32,5.26,19
2019-04,10.26,20.51,5.13,10.26,0.0,5.13,10.26,2.56,39
2019-05,18.18,12.12,0.0,10.61,12.12,4.55,19.7,1.52,66
2019-06,12.5,6.25,4.17,20.83,12.5,14.58,20.83,0.0,48
2019-07,5.56,7.41,3.7,18.52,12.96,9.26,12.96,0.0,54
2019-08,12.24,12.24,4.08,10.2,12.24,2.04,26.53,2.04,49
2019-09,9.62,13.46,13.46,13.46,11.54,9.62,13.46,1.92,52
2019-10,25.0,21.43,21.43,17.86,10.71,10.71,17.86,3.57,28
2019-11,24.24,18.18,9.09,18.18,27.27,6.06,3.03,0.0,33
2019-12,9.52,14.29,2.38,26.19,14.29,2.38,16.67,2.38,42
2020-01,29.41,11.76,5.88,11.76,14.71,5.88,8.82,5.88,34
2020-02,14.71,5.88,5.88,11.76,11.76,11.76,5.88,0.0,34
2020-03,30.3,0.0,3.03,12.12,21.21,3.03,21.21,3.03,33
2020-04,30.0,22.5,0.0,15.0,7.5,10.0,2.5,2.5,40
2020-05,17.86,16.07,3.57,14.29,10.71,8.93,21.43,1.79,56
2020-06,12.28,15.79,10.53,21.05,12.28,10.53,7.02,1.75,57
2020-07,25.71,5.71,7.14,17.14,15.71,5.71,12.86,2.86,70
2020-08,14.29,14.29,8.57,12.86,10.0,7.14,17.14,1.43,70
2020-09,12.12,4.55,6.06,22.73,15.15,9.09,7.58,4.55,66
2020-10,20.69,8.62,5.17,6.9,12.07,3.45,10.34,5.17,58
2020-11,26.09,10.87,6.52,6.52,6.52,10.87,17.39,0.0,46
2020-12,12.24,20.41,8.16,14.29,2.04,10.2,14.29,2.04,49
2021-01,18.37,8.16,4.08,22.45,10.2,10.2,16.33,0.0,49
2021-02,19.35,14.52,6.45,19.35,17.74,1.61,8.06,3.23,62
2021-03,17.31,19.23,5.77,17.31,9.62,5.77,9.62,5.77,52
2021-04,13.33,13.33,8.89,13.33,8.89,6.67,6.67,6.67,45
2021-05,20.0,8.75,15.0,18.75,15.0,7.5,21.25,3.75,80
2021-06,15.71,18.57,4.29,15.71,10.0,5.71,24.29,4.29,70
2021-07,29.51,24.59,9.84,21.31,11.48,8.2,11.48,3.28,61
2021-08,21.88,17.19,7.81,10.94,4.69,4.69,20.31,3.12,64
2021-09,23.17,13.41,10.98,14.63,14.63,8.54,12.2,1.22,82
2021-10,17.33,9.33,16.0,14.67,14.67,13.33,9.33,4.0,75
2021-11,37.5,14.58,10.42,16.67,8.33,10.42,18.75,2.08,48
2021-12,24.29,28.57,11.43,14.29,8.57,8.57,20.0,10.0,70
2022-01,26.42,15.09,11.32,16.98,7.55,13.21,9.43,5.66,53
2022-02,12.28,10.53,14.04,28.07,8.77,10.53,14.04,5.26,57
2022-03,14.55,14.55,7.27,14.55,14.55,12.73,14.55,7.27,55
2022-04,16.67,19.61,12.75,29.41,5.88,8.82,10.78,5.88,102
2022-05,21.35,20.22,8.99,20.22,13.48,6.74,19.1,7.87,89
2022-06,18.92,16.22,13.51,20.27,9.46,12.16,22.97,10.81,74
2022-07,21.74,10.14,15.94,20.29,14.49,10.14,7.25,4.35,69
2022-08,18.95,16.84,18.95,16.84,8.42,11.58,10.53,1.05,95
2022-09,12.79,24.42,10.47,30.23,8.14,8.14,11.63,2.33,86
2022-10,18.42,14.47,14.47,15.79,13.16,6.58,10.53,7.89,76
2022-11,20.0,14.55,12.73,16.36,12.73,1.82,9.09,3.64,55
2022-12,15.91,11.36,11.36,15.91,4.55,9.09,15.91,9.09,44
2023-01,17.65,17.65,9.8,21.57,9.8,13.73,9.8,3.92,51
2023-02,18.06,11.11,11.11,15.28,23.61,12.5,18.06,6.94,72
2023-03,18.46,15.38,16.92,15.38,10.77,9.23,16.92,6.15,65
2023-04,15.79,22.11,9.47,26.32,11.58,7.37,18.95,12.63,95
2023-05,20.31,14.06,7.81,25.0,11.72,14.84,18.75,21.09,128
2023-06,18.63,11.76,10.78,20.59,17.65,7.84,11.76,16.67,102
2023-07,20.0,12.22,12.22,22.22,5.56,7.78,11.11,16.67,90
2023-08,21.62,18.24,11.49,16.22,18.92,8.78,12.84,16.22,148
2023-09,14.85,15.84,8.91,21.78,18.81,8.91,17.82,16.83,101
2023-10,25.51,21.43,15.31,14.29,12.24,18.37,13.27,33.67,98
2023-11,22.99,17.24,6.9,10.34,10.34,3.45,17.24,26.44,87
2023-12,22.47,21.35,6.74,17.98,12.36,7.87,15.73,19.1,89
2024-01,17.82,11.88,6.93,19.8,10.89,6.93,23.76,24.75,101
2024-02,14.71,17.65,8.09,25.0,16.18,7.35,11.03,30.88,136
2024-03,21.05,21.93,3.51,17.54,14.04,6.14,19.3,34.21,114
2024-04,13.59,15.53,12.62,19.42,15.53,6.8,14.56,22.33,103
2024-05,12.3,18.85,11.48,22.13,14.75,5.74,16.39,33.61,122
2024-06,20.0,15.65,6.09,20.0,11.3,4.35,12.17,32.17,115
2024-07,18.95,14.74,7.37,13.68,17.89,10.53,20.0,28.42,95
2024-08,14.96,19.69,9.45,11.81,16.54,11.81,10.24,28.35,127
2024-09,10.37,20.74,12.59,19.26,12.59,4.44,17.04,26.67,135
2024-10,13.33,20.74,9.63,20.0,13.33,2.22,16.3,32.59,135
2024-11,12.63,18.95,5.26,16.84,14.74,9.47,18.95,35.79,95
2024-12,24.56,26.32,7.02,14.91,15.79,8.77,18.42,41.23,114
2025-01,21.84,14.94,9.2,18.39,16.09,4.6,18.39,31.03,87
2025-02,12.61,18.49,4.2,21.85,21.85,5.04,14.29,43.7,119
2025-03,16.67,17.71,9.38,18.75,19.79,7.29,15.62,43.75,96
2025-04,9.85,20.45,9.85,18.18,22.73,10.61,10.61,50.76,132
2025-05,17.05,19.38,10.08,16.28,19.38,9.3,14.73,38.76,129
2025-06,17.7,23.01,6.19,19.47,11.5,12.39,7.08,42.48,113
2025-07,16.34,19.61,9.8,25.49,18.95,7.19,16.99,43.79,153
2025-08,8.96,19.9,9.95,21.89,24.38,7.46,14.43,41.29,201
2025-09,14.15,16.04,7.55,17.92,18.87,6.6,15.09,41.51,106
2025-10,8.59,22.66,15.62,22.66,19.53,13.28,11.72,57.03,128
2025-11,18.35,22.94,11.01,17.43,16.51,4.59,12.84,55.05,109
2025-12,12.2,23.17,12.2,23.17,21.95,7.32,15.85,54.88,82
2026-01,11.76,25.74,11.76,27.94,18.38,7.35,10.29,53.68,136
2026-02,12.96,25.93,13.58,20.37,19.14,7.41,14.2,53.09,162
2026-03,11.43,23.81,8.57,19.05,17.14,7.62,18.1,52.38,105
2026-04,11.19,27.27,6.29,22.38,14.69,11.89,16.08,50.35,143
2026-05,12.98,17.56,12.21,22.9,17.56,15.27,10.69,63.36,131
2026-06,9.6,18.4,9.6,21.6,17.6,7.2,17.6,60.8,125
2026-07,10.46,23.53,13.73,18.95,23.53,13.07,12.42,53.59,153
2026-08,12.26,24.53,13.21,16.04,17.92,4.72,13.21,54.72,106
