month,graph,sequential,causal_debiasing,fairness_explainability,multimodal,reinforcement_learning,coldstart_federated,llm,n_papers
2019-01,5.0,0.0,5.0,0.0,15.0,5.0,10.0,0.0,20
2019-02,16.67,16.67,0.0,3.33,3.33,6.67,0.0,0.0,30
2019-03,21.05,5.26,0.0,15.79,0.0,10.53,5.26,5.26,19
2019-04,5.13,15.38,2.56,5.13,0.0,5.13,5.13,0.0,39
2019-05,10.61,3.03,0.0,3.03,3.03,3.03,3.03,0.0,66
2019-06,4.17,4.17,2.08,12.5,6.25,8.33,10.42,0.0,48
2019-07,3.7,5.56,1.85,11.11,3.7,7.41,3.7,0.0,54
2019-08,8.16,10.2,0.0,4.08,6.12,2.04,4.08,0.0,49
2019-09,5.77,5.77,5.77,3.85,0.0,7.69,5.77,0.0,52
2019-10,17.86,17.86,10.71,3.57,3.57,3.57,14.29,0.0,28
2019-11,15.15,15.15,3.03,0.0,9.09,6.06,0.0,0.0,33
2019-12,7.14,9.52,2.38,14.29,0.0,2.38,2.38,2.38,42
2020-01,17.65,8.82,5.88,2.94,5.88,5.88,2.94,5.88,34
2020-02,8.82,2.94,2.94,2.94,5.88,5.88,0.0,0.0,34
2020-03,21.21,0.0,0.0,9.09,9.09,0.0,9.09,0.0,33
2020-04,12.5,22.5,0.0,0.0,2.5,7.5,2.5,0.0,40
2020-05,10.71,12.5,3.57,3.57,3.57,3.57,10.71,0.0,56
2020-06,8.77,8.77,7.02,12.28,7.02,7.02,3.51,0.0,57
2020-07,17.14,4.29,2.86,5.71,4.29,4.29,7.14,2.86,70
2020-08,4.29,10.0,4.29,2.86,2.86,7.14,4.29,1.43,70
2020-09,4.55,3.03,3.03,13.64,9.09,4.55,3.03,1.52,66
2020-10,10.34,5.17,5.17,1.72,5.17,3.45,5.17,1.72,58
2020-11,13.04,4.35,4.35,4.35,2.17,4.35,8.7,0.0,46
2020-12,6.12,16.33,2.04,6.12,0.0,6.12,12.24,0.0,49
2021-01,10.2,6.12,0.0,8.16,2.04,6.12,2.04,0.0,49
2021-02,11.29,11.29,1.61,12.9,4.84,1.61,4.84,1.61,62
2021-03,7.69,17.31,1.92,9.62,1.92,3.85,3.85,0.0,52
2021-04,4.44,4.44,4.44,6.67,6.67,4.44,4.44,4.44,45
2021-05,12.5,7.5,8.75,10.0,1.25,2.5,7.5,0.0,80
2021-06,12.86,12.86,1.43,2.86,1.43,4.29,8.57,0.0,70
2021-07,19.67,16.39,4.92,11.48,4.92,4.92,6.56,0.0,61
2021-08,12.5,14.06,4.69,4.69,1.56,4.69,15.62,0.0,64
2021-09,13.41,12.2,6.1,6.1,7.32,3.66,2.44,0.0,82
2021-10,10.67,6.67,4.0,5.33,4.0,8.0,6.67,0.0,75
2021-11,25.0,4.17,8.33,4.17,6.25,8.33,8.33,0.0,48
2021-12,11.43,12.86,2.86,1.43,2.86,5.71,12.86,1.43,70
2022-01,9.43,11.32,7.55,7.55,0.0,7.55,1.89,1.89,53
2022-02,7.02,5.26,10.53,14.04,3.51,5.26,12.28,3.51,57
2022-03,3.64,10.91,3.64,1.82,5.45,7.27,7.27,1.82,55
2022-04,8.82,16.67,7.84,12.75,1.96,3.92,6.86,2.94,102
2022-05,14.61,15.73,4.49,12.36,6.74,4.49,10.11,3.37,89
2022-06,5.41,10.81,5.41,6.76,5.41,9.46,6.76,4.05,74
2022-07,13.04,8.7,8.7,10.14,5.8,5.8,5.8,1.45,69
2022-08,9.47,12.63,12.63,7.37,5.26,9.47,4.21,1.05,95
2022-09,6.98,17.44,2.33,20.93,0.0,4.65,8.14,0.0,86
2022-10,5.26,7.89,9.21,10.53,3.95,5.26,6.58,1.32,76
2022-11,5.45,10.91,7.27,1.82,3.64,0.0,3.64,0.0,55
2022-12,11.36,6.82,4.55,6.82,4.55,6.82,9.09,2.27,44
2023-01,7.84,13.73,7.84,9.8,1.96,9.8,7.84,0.0,51
2023-02,9.72,5.56,4.17,2.78,13.89,6.94,9.72,4.17,72
2023-03,10.77,10.77,12.31,10.77,7.69,4.62,4.62,1.54,65
2023-04,5.26,18.95,6.32,7.37,4.21,5.26,9.47,9.47,95
2023-05,13.28,6.25,3.91,7.81,6.25,10.16,10.16,14.84,128
2023-06,6.86,7.84,7.84,7.84,7.84,4.9,5.88,9.8,102
2023-07,11.11,10.0,7.78,5.56,4.44,5.56,7.78,10.0,90
2023-08,7.43,11.49,7.43,7.43,14.86,6.76,5.41,11.49,148
2023-09,6.93,12.87,1.98,10.89,10.89,5.94,7.92,9.9,101
2023-10,18.37,13.27,7.14,7.14,5.1,12.24,5.1,19.39,98
2023-11,13.79,13.79,2.3,5.75,5.75,1.15,4.6,16.09,87
2023-12,14.61,15.73,3.37,6.74,8.99,4.49,8.99,14.61,89
2024-01,9.9,9.9,3.96,10.89,2.97,2.97,15.84,16.83,101
2024-02,6.62,11.76,4.41,11.03,8.09,3.68,7.35,23.53,136
2024-03,7.89,14.91,1.75,2.63,7.02,3.51,8.77,25.44,114
2024-04,8.74,12.62,6.8,4.85,8.74,3.88,5.83,16.5,103
2024-05,7.38,14.75,4.1,9.02,8.2,2.46,4.92,22.95,122
2024-06,3.48,7.83,4.35,9.57,6.96,2.61,8.7,22.61,115
2024-07,10.53,11.58,2.11,6.32,10.53,5.26,5.26,16.84,95
2024-08,7.87,17.32,7.09,3.94,8.66,7.87,6.3,22.83,127
2024-09,4.44,12.59,8.15,9.63,6.67,2.96,8.15,20.0,135
2024-10,7.41,14.81,4.44,4.44,9.63,1.48,8.89,19.26,135
2024-11,7.37,15.79,1.05,3.16,3.16,5.26,12.63,21.05,95
2024-12,14.04,19.3,4.39,3.51,8.77,4.39,7.89,30.7,114
2025-01,12.64,10.34,2.3,8.05,9.2,1.15,8.05,22.99,87
2025-02,6.72,10.92,1.68,11.76,6.72,2.52,6.72,34.45,119
2025-03,9.38,10.42,2.08,7.29,11.46,5.21,11.46,33.33,96
2025-04,4.55,15.91,2.27,5.3,13.64,6.06,2.27,33.33,132
2025-05,11.63,10.85,4.65,5.43,9.3,3.1,3.88,28.68,129
2025-06,9.73,14.16,1.77,4.42,5.31,5.31,2.65,30.09,113
2025-07,4.58,9.8,4.58,10.46,9.8,3.92,9.15,29.41,153
2025-08,2.49,10.45,4.48,6.97,14.43,3.98,7.96,23.38,201
2025-09,8.49,7.55,2.83,4.72,11.32,2.83,7.55,28.3,106
2025-10,5.47,10.94,7.81,7.03,10.94,5.47,7.03,37.5,128
2025-11,2.75,14.68,0.92,4.59,12.84,0.92,9.17,38.53,109
2025-12,6.1,17.07,6.1,8.54,13.41,4.88,4.88,28.05,82
2026-01,4.41,15.44,4.41,11.03,9.56,2.94,3.68,34.56,136
2026-02,3.7,10.49,3.09,4.94,11.11,1.85,4.32,36.42,162
2026-03,4.76,11.43,5.71,4.76,11.43,2.86,10.48,37.14,105
2026-04,2.8,15.38,2.1,7.69,9.79,6.99,6.99,34.97,143
2026-05,4.58,8.4,3.82,8.4,7.63,6.11,3.05,39.69,131
2026-06,2.4,7.2,2.4,4.8,8.8,0.8,8.0,37.6,125
2026-07,5.23,7.84,3.92,4.58,9.15,2.61,2.61,33.99,153
2026-08,4.72,10.38,3.77,4.72,9.43,1.89,1.89,38.68,106
