year,venue,n_full,n_recsys,recsys_share
2019,CIKM,234,41,17.52
2019,KDD,174,25,14.37
2019,RecSys,36,36,100.0
2019,SIGIR,84,22,26.19
2019,WSDM,84,18,21.43
2019,WWW,225,26,11.56
2020,CIKM,193,36,18.65
2020,KDD,217,25,11.52
2020,RecSys,41,41,100.0
2020,SIGIR,147,65,44.22
2020,WSDM,91,26,28.57
2020,WWW,219,29,13.24
2021,CIKM,271,45,16.61
2021,KDD,239,23,9.62
2021,RecSys,48,48,100.0
2021,SIGIR,151,58,38.41
2021,WSDM,111,28,25.23
2021,WWW,352,55,15.62
2022,CIKM,272,64,23.53
2022,KDD,253,27,10.67
2022,RecSys,39,39,100.0
2022,SIGIR,161,70,43.48
2022,WSDM,159,38,23.9
2022,WWW,355,83,23.38
2023,CIKM,354,78,22.03
2023,KDD,313,34,10.86
2023,RecSys,53,53,100.0
2023,SIGIR,165,78,47.27
2023,WSDM,123,37,30.08
2023,WWW,389,80,20.57
2024,CIKM,345,67,19.42
2024,KDD,410,48,11.71
2024,RecSys,71,71,100.0
2024,SIGIR,210,84,40.0
2024,WSDM,109,43,39.45
2024,WWW,428,80,18.69
2025,CIKM,433,89,20.55
2025,KDD,551,62,11.25
2025,RecSys,48,48,100.0
2025,SIGIR,230,91,39.57
2025,WSDM,65,21,32.31
2025,WWW,440,76,17.27
