venue,period,graph,sequential,causal_debiasing,fairness_explainability,multimodal,reinforcement_learning,coldstart_federated,llm
CIKM,2019-2021,27.87,25.41,4.1,4.1,4.92,4.1,9.84,0.0
CIKM,2023-2025,17.52,22.22,6.41,5.13,8.12,5.56,20.51,14.96
KDD,2019-2021,28.77,12.33,9.59,5.48,2.74,10.96,9.59,0.0
KDD,2023-2025,14.58,22.22,11.11,6.25,6.25,9.03,16.67,13.89
RecSys,2019-2021,7.2,8.8,11.2,10.4,3.2,13.6,12.8,0.8
RecSys,2023-2025,9.3,19.77,8.14,11.05,8.14,8.72,14.53,16.28
SIGIR,2019-2021,28.97,18.62,6.9,10.34,2.76,7.59,15.86,0.69
SIGIR,2023-2025,18.58,25.69,7.51,7.91,8.7,6.32,14.23,17.79
WSDM,2019-2021,13.89,18.06,11.11,16.67,1.39,6.94,8.33,0.0
WSDM,2023-2025,22.77,24.75,6.93,5.94,2.97,3.96,16.83,7.92
WWW,2019-2021,22.73,19.09,4.55,10.91,5.45,6.36,7.27,0.0
WWW,2023-2025,17.37,16.53,9.32,12.71,11.44,7.63,15.25,15.68
